product_id,category,product_name,price
1,Fashion,One,54.9
2,Sports,Bill,493.56
3,Home,Term,1474.26
4,Fashion,Light,1183.03
5,Electronics,Control,64.45
6,Books,Foot,469.16
7,Electronics,Into,1124.68
8,Toys,Available,444.78
9,Sports,Piece,1619.81
10,Electronics,Boy,1518.82
11,Home,Reveal,1397.79
12,Beauty,Teach,559.35
13,Books,Pick,1914.64
14,Beauty,Spend,208.91
15,Toys,Ten,197.95
16,Beauty,Hundred,1209.43
17,Electronics,Generation,1460.81
18,Fashion,Miss,1946.37
19,Toys,Quite,162.21
20,Sports,Recent,1659.66
21,Beauty,Ask,1156.82
22,Fashion,Believe,96.42
23,Books,Director,1547.27
24,Fashion,Technology,1711.36
25,Fashion,Chair,763.35
26,Grocery,Very,1273.19
27,Beauty,Partner,329.49
28,Beauty,Weight,422.97
29,Sports,Someone,1405.13
30,Fashion,Provide,1220.22
31,Home,Take,1070.61
32,Books,A,330.99
33,Toys,Sometimes,543.55
34,Books,Choice,1370.81
35,Electronics,Recent,461.95
36,Electronics,Church,1611.07
37,Toys,Local,539.14
38,Books,Night,1826.71
39,Beauty,Film,429.19
40,Grocery,In,794.29
41,Grocery,Power,290.03
42,Home,Participant,497.02
43,Sports,Likely,1495.29
44,Toys,Deal,1796.16
45,Toys,Describe,727.18
46,Home,Responsibility,1021.5
47,Fashion,Understand,1512.79
48,Fashion,Free,309.92
49,Home,Firm,1585.2
50,Toys,Over,1194.84
51,Toys,Study,766.33
52,Grocery,White,1060.58
53,Electronics,Respond,1362.17
54,Fashion,Fly,1365.01
55,Sports,Why,1538.35
57,Toys,Write,320.52
58,Unknown,Learn,1907.86
60,Home,Whole,1017.82
61,Fashion,Guy,1741.68
62,Sports,Behind,1684.13
63,Books,Pass,309.91
64,Home,Across,1081.06
65,Electronics,Population,1199.89
66,Grocery,Mrs,43.86
67,Beauty,International,1758.05
68,Sports,Throw,482.71
69,Books,Care,1756.63
70,Fashion,Together,175.88
71,Grocery,Financial,1632.97
72,Home,Assume,261.14
73,Grocery,Hope,1893.96
74,Home,Wear,533.79
75,Toys,Often,1928.9
76,Books,Argue,1427.33
77,Toys,A,1990.32
78,Beauty,Score,879.01
79,Grocery,Opportunity,246.4
80,Books,Tend,132.73
81,Electronics,Her,1178.68
82,Books,Break,1178.94
83,Electronics,Traditional,146.63
84,Electronics,Father,461.74
85,Electronics,Tree,1719.97
86,Fashion,Allow,1030.74
87,Sports,Easy,1339.61
88,Books,Lay,1080.77
89,Grocery,Scientist,489.78
90,Grocery,Performance,1615.96
91,Books,Indeed,193.18
93,Toys,Friend,936.71
94,Electronics,Seek,1348.36
95,Fashion,Idea,125.92
96,Beauty,Into,1602.18
97,Fashion,I,501.07
98,Books,Learn,1074.89
99,Home,Offer,846.65
100,Sports,Development,927.94
101,Fashion,Recognize,889.05
103,Electronics,May,1938.15
104,Books,Chair,336.79
105,Grocery,Cup,965.31
106,Toys,One,1805.37
107,Home,If,761.05
108,Toys,Threat,534.08
109,Unknown,Window,574.07
110,Grocery,Here,313.82
111,Sports,Though,439.31
112,Electronics,Key,1160.46
113,Electronics,Class,1497.21
114,Electronics,Fight,105.03
115,Grocery,Turn,1008.19
116,Home,Religious,118.47
117,Fashion,Car,1703.43
118,Fashion,Center,1192.1
119,Books,Activity,810.53
120,Books,Away,1159.94
121,Electronics,Raise,1240.67
122,Toys,Admit,1316.46
123,Beauty,Charge,1869.74
124,Books,Set,1341.1
125,Unknown,Value,481.18
126,Toys,Message,266.1
127,Sports,Really,917.16
128,Fashion,Leave,23.58
129,Fashion,Century,151.16
130,Books,Become,1014.24
131,Home,Certain,1866.85
132,Fashion,Quality,1759.14
133,Beauty,Sure,573.55
134,Grocery,Just,1668.32
135,Sports,Trade,1225.3
136,Electronics,Lose,1337.39
137,Sports,Wall,1863.85
138,Fashion,Story,1878.17
139,Unknown,Safe,532.61
140,Fashion,Pm,1486.12
141,Home,Wonder,548.33
142,Books,Large,1436.64
143,Books,Price,1376.56
144,Sports,Couple,1013.29
145,Sports,Look,1811.15
146,Electronics,Mr,189.14
147,Toys,Language,1659.55
149,Home,Ten,1276.04
150,Sports,Listen,327.36
