product_id,stock
1,432
2,186
3,290
4,249
5,97
6,128
7,195
8,268
9,277
10,169
11,407
12,204
13,421
14,261
15,342
16,96
17,43
18,289
19,30
20,98
21,167
22,78
23,28
24,426
25,166
26,63
27,209
28,50
29,424
30,259
31,396
32,499
33,410
34,175
35,316
36,145
37,79
38,227
39,214
40,27
41,287
42,363
43,80
44,239
45,412
46,368
47,440
48,78
49,64
50,195
51,345
52,207
53,342
54,215
55,243
56,65
57,138
58,351
59,165
60,28
61,380
62,161
63,245
64,359
65,355
66,202
67,43
68,41
69,41
70,466
71,444
72,179
73,191
74,302
75,174
76,37
77,348
78,303
79,320
80,90
81,86
82,340
83,264
84,31
85,227
86,467
87,476
88,312
89,338
90,369
91,39
92,494
93,353
94,216
95,178
96,330
97,424
98,177
99,339
100,143
101,190
102,243
103,352
104,198
105,398
106,376
107,456
108,478
109,352
110,442
111,279
112,40
113,491
114,367
115,135
116,423
117,355
118,221
119,128
120,307
121,131
122,226
123,169
124,269
125,91
126,465
127,104
128,175
129,205
130,186
131,414
132,281
133,489
134,400
135,69
136,268
137,39
138,288
139,393
140,133
141,140
142,198
143,53
144,420
145,410
146,415
147,171
148,466
149,349
150,361
151,114
152,153
153,159
154,351
155,345
156,466
157,421
158,333
159,342
160,444
161,383
162,228
163,225
164,379
165,146
166,363
167,331
168,38
169,414
170,40
171,393
172,37
173,153
174,202
175,128
176,322
177,484
178,383
179,300
180,29
181,159
182,379
183,466
184,481
185,390
186,301
187,464
188,409
189,298
190,429
191,397
192,233
193,273
194,343
195,104
196,451
197,181
198,73
199,174
200,25
201,371
202,314
203,212
204,76
205,398
206,244
207,46
208,309
209,316
210,277
211,249
212,127
213,57
214,274
215,442
216,27
217,322
218,276
219,79
220,474
221,223
222,228
223,293
224,486
225,307
226,72
227,134
228,477
229,29
230,137
231,459
232,340
233,299
234,170
235,214
236,328
237,75
238,367
239,112
240,301
241,69
242,206
243,47
244,71
245,215
246,149
247,186
248,153
249,494
250,229
251,217
252,98
253,209
254,244
255,138
256,77
257,99
258,463
259,198
260,132
261,235
262,75
263,85
264,245
265,226
266,323
267,276
268,251
269,222
270,108
271,414
272,463
273,102
274,422
275,407
276,473
277,319
278,201
279,495
280,275
281,425
282,401
283,347
284,319
285,178
286,270
287,163
288,206
289,39
290,304
291,50
292,343
293,308
294,351
295,278
296,335
297,421
298,251
299,81
300,258
301,482
302,138
303,353
304,132
305,65
306,408
307,192
308,416
309,273
310,68
311,497
312,237
313,38
314,477
315,162
316,108
317,215
318,500
319,443
320,62
321,155
322,447
323,485
324,414
325,149
326,249
327,64
328,479
329,233
330,190
331,38
332,454
333,155
334,154
335,412
336,73
337,209
338,114
339,240
340,153
341,165
342,196
343,369
344,357
345,276
346,398
347,344
348,93
349,326
350,482
351,425
352,232
353,398
354,325
355,166
356,392
357,208
358,151
359,64
360,357
361,364
362,449
363,313
364,428
365,472
366,78
367,447
368,132
369,497
370,393
371,438
372,257
373,305
374,42
375,150
376,324
377,279
378,268
379,444
380,239
381,89
382,30
383,328
384,116
385,435
386,300
387,433
388,118
389,247
390,146
391,324
392,220
393,496
394,186
395,396
396,104
397,179
398,480
399,108
400,438
401,263
402,363
403,233
404,21
405,380
406,430
407,268
408,164
409,357
410,366
411,81
412,179
413,243
414,153
415,452
416,410
417,477
418,158
419,21
420,427
421,107
422,242
423,375
424,83
425,117
426,200
427,117
428,164
429,99
430,186
431,200
432,194
433,217
434,64
435,305
436,121
437,93
438,438
439,240
440,388
441,98
442,445
443,65
444,126
445,293
446,150
447,500
448,82
449,461
450,372
451,204
452,196
453,57
454,451
455,24
456,314
457,361
458,200
459,159
460,496
461,87
462,465
463,341
464,205
465,415
466,92
467,463
468,266
469,193
470,23
471,208
472,225
473,482
474,297
475,277
476,346
477,51
478,281
479,483
480,160
481,351
482,468
483,289
484,492
485,108
486,376
487,26
488,244
489,100
490,261
491,56
492,97
493,220
494,116
495,125
496,177
497,36
498,374
499,359
500,114
